Name,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Cre,Dec,Det,Fla,Inf,Off,Pos,Tea,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,LTh,Mar,Pas,Pen,Tac,Tec,Aer,Cmd,Com,Ecc,Han,Kic,One,Ref,Rus,Pun,Thr,Position,Age,Value
 Liam Lawrence        , 12    , 13    , 12    , 9     , 14    , 12    , 13    , 14    , 14  , 13  , 14  , 13  , 13  , 13  , 13  , 10  , 14  , 17  , 14  , 12  , 13  , 15  , 16  , 15  , 12  , 13  , 12  , 14  , 10  , 14  , 6   , 5   , 14  , 16  , 7   , 14  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , M/AM (RC)              , 29    , $3.6M 
 Robert Snodgrass     , 12    , 14    , 12    , 10    , 13    , 10    , 15    , 14    , 12  , 11  , 14  , 12  , 12  , 12  , 14  , 15  , 14  , 9   , 14  , 12  , 12  , 14  , 14  , 14  , 14  , 13  , 12  , 13  , 9   , 13  , 2   , 8   , 14  , 12  , 11  , 14  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , M/AM (RL)              , 23    , $3.6M 
 Liam Ridgewell       , 12    , 11    , 11    , 15    , 14    , 12    , 14    , 12    , 17  , 11  , 16  , 12  , 12  , 12  , 12  , 14  , 4   , 16  , 7   , 12  , 15  , 14  , 1   , 12  , 10  , 12  , 12  , 5   , 18  , 5   , 9   , 17  , 13  , 5   , 16  , 13  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D (LC)                 , 26    , $3.5M 
 Jean Beausejour      , 14    , 14    , 14    , 11    , 15    , 13    , 15    , 12    , 12  , 12  , 12  , 14  , 14  , 10  , 13  , 15  , 14  , 6   , 13  , 8   , 12  , 11  , 12  , 15  , 15  , 10  , 15  , 8   , 12  , 9   , 7   , 7   , 13  , 11  , 9   , 12  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," M (LC), AM (L)         ", 27    , $3.5M 
 Matty Taylor         , 11    , 12    , 12    , 11    , 13    , 11    , 18    , 13    , 11  , 12  , 12  , 13  , 13  , 12  , 10  , 16  , 11  , 10  , 13  , 13  , 14  , 16  , 15  , 15  , 7   , 12  , 13  , 14  , 10  , 15  , 9   , 9   , 14  , 16  , 10  , 11  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , WB/M (L)               , 29    , $3.4M 
 Jack Cork            , 13    , 13    , 15    , 11    , 17    , 10    , 12    , 8     , 11  , 11  , 13  , 14  , 16  , 14  , 13  , 14  , 8   , 15  , 13  , 14  , 18  , 18  , 4   , 8   , 11  , 11  , 11  , 5   , 7   , 11  , 4   , 14  , 14  , 4   , 12  , 14  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , M (C)                  , 22    , $3.4M 
 Michael Johnson      , 11    , 11    , 13    , 10    , 5     , 13    , 12    , 10    , 10  , 13  , 10  , 13  , 13  , 13  , 11  , 18  , 12  , 10  , 14  , 10  , 15  , 15  , 13  , 11  , 11  , 10  , 13  , 12  , 6   , 11  , 6   , 9   , 13  , 11  , 11  , 14  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , M (C)                  , 23    , $3.4M 
 David Stockdale      , 11    , 12    , 9     , 14    , 13    , 15    , 13    , 11    , 7   , 13  , 12  , 14  , 11  , 6   , 10  , 9   , 5   , 9   , 8   , 11  , 12  , 15  , -   , -   , -   , -   , 8   , 7   , -   , -   , -   , -   , -   , 1   , -   , 9   , 15   , 12   , 13   , 9    , 13   , 16   , 12   , 15   , 15   , 14   , 13   , GK                     , 25    , $3.4M 
 Craig Cathcart       , 11    , 8     , 10    , 15    , 13    , 12    , 10    , 13    , 12  , 15  , 15  , 14  , 12  , 5   , 10  , 16  , 3   , 14  , 8   , 15  , 13  , 14  , 3   , 3   , 6   , 4   , 11  , 3   , 15  , 1   , 5   , 15  , 11  , 2   , 16  , 11  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D (C)                  , 22    , $3.4M 
 Boaz Myhill          , 9     , 14    , 13    , 13    , 12    , 10    , 12    , 10    , 9   , 8   , 16  , 12  , 14  , 8   , 10  , 12  , 8   , 8   , 10  , 11  , 11  , 11  , -   , -   , -   , -   , 5   , 9   , -   , -   , -   , -   , -   , 2   , -   , 8   , 14   , 8    , 10   , 8    , 15   , 12   , 13   , 18   , 8    , 14   , 5    , GK                     , 28    , $3.3M 
 Jonathan Spector     , 15    , 12    , 16    , 12    , 13    , 12    , 14    , 12    , 15  , 12  , 15  , 14  , 11  , 10  , 12  , 15  , 14  , 11  , 12  , 12  , 17  , 16  , 3   , 8   , 12  , 10  , 13  , 4   , 12  , 9   , 8   , 12  , 11  , 6   , 15  , 13  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," D (RC), M (C)          ", 25    , $3.3M 
 Peter Whittingham    , 11    , 13    , 14    , 9     , 16    , 11    , 14    , 8     , 5   , 13  , 7   , 15  , 13  , 17  , 15  , 10  , 15  , 7   , 14  , 9   , 11  , 10  , 15  , 14  , 12  , 12  , 15  , 14  , 9   , 14  , 3   , 8   , 16  , 13  , 8   , 17  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," M (RLC), AM (L)        ", 26    , $3.3M 
 James Tomkins        , 13    , 11    , 13    , 16    , 15    , 13    , 13    , 14    , 11  , 13  , 14  , 15  , 11  , 6   , 11  , 12  , 4   , 9   , 6   , 12  , 14  , 11  , 1   , 3   , 11  , 4   , 10  , 4   , 14  , 8   , 6   , 14  , 11  , 4   , 13  , 12  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D (C)                  , 22    , $3.3M 
 Curtis Davies        , 14    , 14    , 14    , 15    , 12    , 15    , 15    , 14    , 12  , 15  , 12  , 14  , 12  , 6   , 10  , 17  , 3   , 12  , 8   , 12  , 11  , 14  , 3   , 5   , 9   , 5   , 12  , 2   , 15  , 2   , 6   , 14  , 10  , 1   , 15  , 12  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D (C)                  , 26    , $3.3M 
 Dave Nugent          , 13    , 11    , 8     , 11    , 15    , 15    , 11    , 13    , 8   , 12  , 13  , 12  , 11  , 12  , 12  , 13  , 11  , 5   , 14  , 9   , 12  , 10  , 6   , 4   , 13  , 14  , 11  , 8   , 14  , 12  , 5   , 5   , 12  , 12  , 10  , 11  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , ST                     , 26    , $3.3M 
 Neal Eardley         , 12    , 11    , 11    , 10    , 16    , 13    , 12    , 12    , 11  , 12  , 13  , 11  , 12  , 10  , 13  , 11  , 5   , 9   , 9   , 13  , 10  , 13  , 13  , 15  , 13  , 10  , 13  , 15  , 13  , 15  , 8   , 12  , 16  , 15  , 15  , 13  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D (R)                  , 22    , $3.2M 
 Scott McDonald       , 13    , 15    , 12    , 7     , 10    , 12    , 14    , 10    , 9   , 14  , 8   , 13  , 12  , 11  , 12  , 14  , 7   , 4   , 14  , 8   , 12  , 12  , 11  , 12  , 9   , 14  , 14  , 10  , 11  , 8   , 9   , 4   , 11  , 13  , 6   , 13  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , ST                     , 27    , $3.2M 
 Frank Nouble         , 14    , 12    , 11    , 12    , 13    , 15    , 11    , 12    , 7   , 7   , 7   , 7   , 9   , 7   , 8   , 13  , 12  , 3   , 9   , 6   , 8   , 9   , 1   , 8   , 12  , 10  , 10  , 5   , 7   , 5   , 1   , 4   , 7   , 11  , 3   , 10  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," AM (RL), ST            ", 19    , $3.2M 
 Andy Reid            , 9     , 9     , 14    , 6     , 11    , 9     , 13    , 12    , 12  , 14  , 12  , 14  , 7   , 15  , 11  , 14  , 16  , 12  , 13  , 12  , 14  , 14  , 10  , 15  , 15  , 11  , 15  , 13  , 9   , 14  , 5   , 6   , 14  , 14  , 9   , 14  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , M (LC)                 , 28    , $3.2M 
 George Boyd          , 11    , 12    , 14    , 11    , 13    , 10    , 12    , 11    , 7   , 12  , 4   , 12  , 9   , 15  , 14  , 14  , 15  , 8   , 12  , 10  , 10  , 13  , 11  , 12  , 15  , 12  , 14  , 10  , 8   , 12  , 1   , 3   , 13  , 12  , 9   , 14  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," M (L), AM (LC)         ", 25    , $3.1M 
 Luciano Becchio      , 11    , 12    , 13    , 15    , 14    , 11    , 15    , 15    , 8   , 11  , 15  , 10  , 10  , 11  , 11  , 13  , 9   , 7   , 12  , 7   , 12  , 17  , 4   , 6   , 10  , 14  , 14  , 6   , 15  , 10  , 8   , 4   , 7   , 12  , 10  , 13  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , ST                     , 27    , $3.1M 
 Winston Reid         , 11    , 11    , 14    , 14    , 13    , 14    , 13    , 15    , 17  , 12  , 16  , 8   , 7   , 11  , 6   , 11  , 12  , 14  , 5   , 11  , 15  , 10  , 4   , 10  , 10  , 7   , 11  , 13  , 15  , 11  , 11  , 14  , 12  , 12  , 14  , 11  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D (RC)                 , 23    , $3.1M 
 Andy King            , 10    , 11    , 11    , 12    , 13    , 10    , 13    , 7     , 6   , 16  , 9   , 14  , 13  , 10  , 13  , 13  , 12  , 12  , 16  , 14  , 16  , 15  , 9   , 10  , 10  , 15  , 13  , 10  , 13  , 14  , 4   , 10  , 14  , 10  , 10  , 14  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," DM, M/AM (C)           ", 22    , $3.1M 
 Nikola Zigic         , 9     , 10    , 18    , 19    , 8     , 9     , 10    , 15    , 11  , 13  , 14  , 16  , 16  , 13  , 14  , 17  , 7   , 10  , 14  , 13  , 19  , 10  , 6   , 8   , 13  , 15  , 15  , 6   , 15  , 12  , 10  , 8   , 13  , 15  , 8   , 14  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , ST                     , 30    , $3.1M 
 Ian Evatt            , 9     , 10    , 11    , 14    , 13    , 11    , 14    , 16    , 15  , 14  , 15  , 12  , 13  , 8   , 13  , 12  , 5   , 14  , 8   , 13  , 15  , 13  , 3   , 6   , 10  , 6   , 9   , 4   , 16  , 4   , 6   , 14  , 11  , 5   , 15  , 9   , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D (C)                  , 29    , $3M   
 Jordon Mutch         , 12    , 13    , 13    , 13    , 12    , 12    , 15    , 14    , 9   , 12  , 10  , 12  , 9   , 12  , 11  , 16  , 8   , 13  , 11  , 12  , 14  , 14  , 5   , 8   , 9   , 10  , 12  , 7   , 9   , 8   , 7   , 8   , 13  , 5   , 13  , 12  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," DM, M (C)              ", 19    , $3M   
 Andrew Keogh         , 14    , 14    , 14    , 8     , 14    , 14    , 17    , 10    , 10  , 8   , 6   , 8   , 13  , 11  , 11  , 18  , 11  , 3   , 12  , 8   , 16  , 17  , 5   , 10  , 13  , 9   , 12  , 4   , 10  , 8   , 2   , 7   , 11  , 12  , 4   , 13  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , ST                     , 25    , $3M   
 Martyn Waghorn       , 12    , 10    , 9     , 9     , 10    , 13    , 13    , 11    , 17  , 10  , 9   , 12  , 8   , 10  , 8   , 16  , 11  , 8   , 10  , 8   , 12  , 15  , 10  , 10  , 12  , 12  , 12  , 10  , 12  , 10  , 3   , 3   , 11  , 14  , 10  , 10  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," AM (L), ST             ", 21    , $3M   
 Jimmy Kb           , 14    , 11    , 14    , 11    , 12    , 18    , 10    , 8     , 9   , 7   , 5   , 11  , 8   , 8   , 7   , 13  , 16  , 2   , 10  , 3   , 8   , 7   , 8   , 11  , 13  , 9   , 11  , 6   , 6   , 8   , 3   , 5   , 8   , 9   , 4   , 13  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , AM (RL)                , 27    , $2.9M 
 Robert Green         , 12    , 16    , 15    , 15    , 14    , 11    , 14    , 14    , 5   , 10  , 14  , 12  , 14  , 12  , 13  , 19  , 3   , 10  , 1   , 15  , 7   , 12  , -   , -   , -   , -   , 4   , 8   , -   , -   , -   , -   , -   , 6   , -   , 9   , 12   , 13   , 12   , 8    , 14   , 13   , 13   , 16   , 13   , 11   , 12   , GK                     , 31    , $2.9M 
 Julien Faubert       , 15    , 13    , 14    , 10    , 15    , 15    , 14    , 14    , 13  , 12  , 14  , 13  , 13  , 11  , 11  , 14  , 11  , 11  , 14  , 12  , 14  , 13  , 8   , 12  , 12  , 7   , 11  , 12  , 11  , 16  , 9   , 11  , 11  , 10  , 11  , 11  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D/WB/M/AM (R)          , 27    , $2.9M 
 Stephen Crainey      , 10    , 11    , 10    , 8     , 13    , 10    , 15    , 11    , 13  , 12  , 16  , 16  , 13  , 13  , 12  , 15  , 10  , 15  , 12  , 14  , 15  , 15  , 9   , 14  , 11  , 3   , 14  , 10  , 14  , 8   , 8   , 15  , 13  , 7   , 15  , 12  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D (L)                  , 30    , $2.9M 
 Ross McCormack       , 12    , 11    , 11    , 8     , 8     , 12    , 12    , 10    , 8   , 12  , 11  , 14  , 8   , 10  , 10  , 14  , 12  , 5   , 11  , 11  , 12  , 13  , 14  , 12  , 13  , 12  , 14  , 14  , 8   , 13  , 2   , 5   , 11  , 12  , 7   , 13  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," AM (RL), ST            ", 24    , $2.9M 
 Sam Baldock          , 15    , 14    , 10    , 5     , 12    , 13    , 11    , 6     , 8   , 11  , 11  , 13  , 11  , 8   , 11  , 14  , 9   , 6   , 13  , 9   , 13  , 15  , 7   , 9   , 11  , 13  , 12  , 11  , 8   , 8   , 3   , 4   , 10  , 13  , 5   , 12  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , ST                     , 22    , $2.9M 
 John Pantsil         , 14    , 10    , 11    , 10    , 16    , 14    , 14    , 13    , 11  , 10  , 15  , 15  , 11  , 11  , 14  , 18  , 11  , 11  , 14  , 11  , 14  , 15  , 8   , 13  , 11  , 8   , 13  , 8   , 13  , 7   , 15  , 14  , 13  , 8   , 13  , 14  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D (R)                  , 30    , $2.9M 
 Julio Arca           , 8     , 16    , 13    , 6     , 7     , 10    , 11    , 10    , 12  , 13  , 12  , 17  , 10  , 13  , 11  , 16  , 9   , 13  , 12  , 11  , 14  , 13  , 10  , 11  , 12  , 8   , 13  , 15  , 8   , 11  , 7   , 11  , 14  , 13  , 7   , 14  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," D/WB (L), M (LC)       ", 30    , $2.8M 
 Chris Burke          , 13    , 12    , 16    , 8     , 12    , 13    , 12    , 5     , 11  , 12  , 8   , 11  , 13  , 12  , 12  , 14  , 14  , 3   , 13  , 3   , 13  , 12  , 12  , 13  , 14  , 10  , 13  , 9   , 5   , 9   , 2   , 8   , 12  , 9   , 6   , 13  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , M/AM (R)               , 27    , $2.7M 
 Nathan Redmond       , 16    , 10    , 11    , 3     , 12    , 16    , 9     , 5     , 10  , 7   , 6   , 7   , 9   , 10  , 5   , 15  , 14  , 4   , 10  , 5   , 8   , 8   , 7   , 10  , 13  , 7   , 10  , 7   , 2   , 10  , 2   , 4   , 8   , 5   , 4   , 11  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , M/AM (RL)              , 17    , $2.7M 
 Dominic Vose         , 9     , 11    , 14    , 6     , 10    , 10    , 13    , 6     , 9   , 13  , 7   , 11  , 7   , 12  , 11  , 8   , 15  , 5   , 8   , 11  , 9   , 9   , 7   , 9   , 12  , 10  , 11  , 10  , 3   , 13  , 4   , 6   , 11  , 10  , 5   , 11  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , M/AM (C)               , 17    , $2.7M 
 Guy Demel            , 11    , 10    , 17    , 14    , 10    , 15    , 13    , 18    , 11  , 14  , 16  , 8   , 13  , 7   , 9   , 13  , 8   , 12  , 11  , 13  , 16  , 15  , 6   , 9   , 12  , 5   , 13  , 5   , 9   , 7   , 15  , 14  , 10  , 7   , 15  , 13  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," D (RC), DM             ", 30    , $2.7M 
 Danny Fox            , 13    , 9     , 14    , 13    , 18    , 12    , 12    , 13    , 15  , 12  , 17  , 10  , 12  , 12  , 12  , 11  , 12  , 11  , 11  , 12  , 11  , 13  , 14  , 13  , 10  , 7   , 13  , 15  , 10  , 12  , 7   , 10  , 12  , 10  , 14  , 11  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D/WB/M (L)             , 25    , $2.7M 
 Paul Robinson        , 13    , 8     , 9     , 13    , 16    , 12    , 16    , 16    , 16  , 9   , 16  , 7   , 11  , 7   , 11  , 20  , 6   , 17  , 5   , 10  , 15  , 15  , 1   , 3   , 3   , 5   , 9   , 2   , 16  , 1   , 4   , 15  , 8   , 4   , 16  , 6   , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D (C)                  , 29    , $2.7M 
 Rhys Williams        , 13    , 12    , 13    , 12    , 15    , 13    , 14    , 12    , 12  , 12  , 14  , 13  , 13  , 9   , 10  , 14  , 5   , 8   , 10  , 13  , 10  , 15  , 4   , 9   , 7   , 6   , 11  , 7   , 14  , 10  , 13  , 12  , 11  , 5   , 13  , 14  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," D (RC), DM, M (C)      ", 22    , $2.7M 
 Robert Hall          , 12    , 10    , 10    , 10    , 13    , 12    , 7     , 5     , 7   , 9   , 5   , 10  , 8   , 9   , 7   , 7   , 13  , 10  , 13  , 5   , 14  , 10  , 6   , 10  , 9   , 12  , 8   , 4   , 9   , 10  , 2   , 6   , 8   , 9   , 1   , 6   , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , ST                     , 17    , $2.7M 
 Luke Williams        , 14    , 18    , 5     , 5     , 12    , 10    , 7     , 5     , 11  , 9   , 14  , 11  , 7   , 11  , 8   , 15  , 12  , 6   , 10  , 8   , 14  , 15  , 9   , 8   , 13  , 8   , 7   , 6   , 6   , 10  , 5   , 4   , 11  , 7   , 6   , 10  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," AM (RLC), ST           ", 18    , $2.6M 
 Stephen McManus      , 10    , 6     , 14    , 14    , 12    , 12    , 15    , 15    , 13  , 13  , 19  , 8   , 12  , 7   , 12  , 15  , 4   , 16  , 3   , 13  , 15  , 15  , 4   , 5   , 6   , 9   , 9   , 4   , 16  , 4   , 5   , 12  , 9   , 10  , 14  , 6   , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D (C)                  , 28    , $2.6M 
 Don Cowie            , 12    , 12    , 11    , 10    , 13    , 13    , 14    , 12    , 6   , 14  , 9   , 12  , 14  , 13  , 12  , 17  , 13  , 14  , 10  , 10  , 15  , 16  , 13  , 13  , 13  , 12  , 12  , 14  , 7   , 13  , 1   , 10  , 13  , 5   , 12  , 13  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , M (RLC)                , 28    , $2.6M 
 Matt Phillips        , 15    , 12    , 14    , 12    , 11    , 15    , 12    , 8     , 4   , 11  , 11  , 10  , 10  , 11  , 12  , 11  , 10  , 12  , 12  , 11  , 11  , 10  , 9   , 13  , 14  , 12  , 13  , 3   , 12  , 9   , 1   , 6   , 13  , 7   , 9   , 12  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," M (R), AM (RL)         ", 20    , $2.5M 
 Billy Sharp          , 14    , 13    , 12    , 7     , 13    , 13    , 12    , 12    , 13  , 11  , 13  , 13  , 11  , 13  , 11  , 15  , 11  , 9   , 14  , 7   , 10  , 14  , 3   , 10  , 13  , 14  , 12  , 5   , 10  , 11  , 2   , 2   , 9   , 16  , 3   , 12  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , ST                     , 25    , $2.5M 
 Bongani Khumalo      , 14    , 12    , 12    , 12    , 14    , 13    , 14    , 16    , 16  , 13  , 12  , 13  , 12  , 7   , 9   , 16  , 6   , 10  , 6   , 12  , 10  , 12  , 3   , 3   , 6   , 6   , 10  , 5   , 16  , 5   , 9   , 15  , 12  , 4   , 15  , 10  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D (C)                  , 24    , $2.5M 
 James Hurst          , 13    , 11    , 12    , 11    , 13    , 13    , 13    , 12    , 10  , 10  , 8   , 11  , 10  , 9   , 9   , 15  , 8   , 9   , 11  , 12  , 12  , 14  , 7   , 10  , 8   , 4   , 10  , 5   , 10  , 5   , 8   , 11  , 10  , 6   , 12  , 9   , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D (RL)                 , 19    , $2.5M 
 Elliot Grandin       , 15    , 14    , 14    , 9     , 14    , 15    , 12    , 9     , 5   , 12  , 9   , 12  , 12  , 14  , 14  , 12  , 14  , 5   , 14  , 11  , 11  , 13  , 12  , 14  , 13  , 11  , 14  , 10  , 7   , 11  , 5   , 6   , 15  , 12  , 8   , 14  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," M (C), AM (RLC)        ", 23    , $2.5M 
