Name,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Cre,Dec,Det,Fla,Inf,Off,Pos,Tea,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,LTh,Mar,Pas,Pen,Tac,Tec,Aer,Cmd,Com,Ecc,Han,Kic,One,Ref,Rus,Pun,Thr,Position,Age,Value
 Luis Su rez           ,15,15,15,12,14,15,15,12,11,15,13,14,14,15,12,18,15,10,15,6,14,15, 10  , 14  , 15  , 15  ,16,14, 12  , 13  , 9   , 5   , 15  ,13, 5   ,17, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," AM (RL), ST              ",24, $36.5M  
 Juan Mata             ,16,18,9,6,13,16,13,7,10,13,11,14,9,16,13,15,17,6,18,7,14,11, 13  , 14  , 17  , 16  ,17,11, 9   , 12  , 7   , 5   , 16  ,12, 7   ,17, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," M (L), AM (LC), ST       ",23, $35.5M  
 Michael Essien        ,14,11,15,11,10,15,18,17,18,17,18,15,16,14,14,19,10,12,16,15,16,17, 6   , 13  , 11  , 8   ,15,10, 12  , 11  , 5   , 15  , 13  ,12, 17  ,15, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," DM, M (C)                ",28, $35M    
 David Luiz            ,17,15,16,16,16,15,13,14,17,16,16,11,12,8,11,17,10,12,12,13,13,16, 8   , 9   , 11  , 10  ,13,9, 14  , 12  , 18  , 17  , 12  ,10, 16  ,13, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D (C)                    ,24, $34.5M  
 Steven Gerrard        ,14,14,16,14,14,14,14,16,16,16,17,15,15,15,16,18,14,15,15,13,14,12, 12  , 16  , 14  , 16  ,15,13, 11  , 18  , 3   , 11  , 17  ,17, 16  ,15, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , M/AM (RC)                ,31, $33.5M  
 Nemanja Vidic         ,12,12,13,17,16,12,16,18,18,18,19,13,16,7,15,18,4,16,6,18,16,15, 3   , 3   , 4   , 8   ,13,3, 19  , 4   , 7   , 17  , 11  ,10, 17  ,13, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D (C)                    ,29, $33.5M  
 John Terry            ,11,11,14,14,16,10,15,16,16,17,20,15,16,10,16,20,6,20,10,17,20,17, 7   , 6   , 9   , 10  ,14,4, 18  , 5   , 4   , 16  , 13  ,11, 16  ,14, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D (C)                    ,30, $31.5M  
 Darren Bent           ,18,12,11,12,15,15,15,13,11,17,11,12,14,7,15,17,8,9,18,5,13,15, 7   , 9   , 12  , 15  ,11,11, 13  , 9   , 6   , 5   , 9   ,15, 4   ,11, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , ST                       ,27, $29M    
 David De Gea          ,11,17,12,16,10,14,12,12,7,12,11,9,13,10,14,16,5,10,10,16,11,9, -   , -   , -   , -   ,15,10, -   , -   , -   , -   , -   ,3, -   ,9, 17   , 16   , 11   , 4    , 16   , 15   , 14   , 16   , 4    , 8    , 12   , GK                       ,20, $27.5M  
 Patrice Evra          ,18,17,17,9,17,18,18,11,15,16,15,12,15,7,14,19,15,14,15,15,16,15, 6   , 12  , 15  , 5   ,15,6, 14  , 4   , 10  , 14  , 12  ,7, 16  ,15, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D/WB (L)                 ,30, $26.5M  
 Phil Jones            ,14,12,11,13,18,14,15,17,15,15,16,14,13,11,14,18,14,15,9,14,13,13, 2   , 5   , 8   , 5   ,14,6, 13  , 4   , 10  , 15  , 12  ,8, 16  ,10, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," D (C), DM, M (C)         ",19, $26.5M  
 Yaya Tour            ,13,13,18,15,15,16,17,18,12,14,16,14,14,15,13,15,13,11,13,15,17,18, 10  , 10  , 13  , 13  ,12,12, 15  , 15  , 9   , 14  , 16  ,11, 14  ,14, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," DM, M (C)                ",28, $26M    
 Jordan Henderson      ,13,13,12,9,16,15,16,8,6,13,8,14,10,13,10,10,15,10,14,8,11,14, 13  , 17  , 14  , 11  ,13,13, 6   , 13  , 4   , 7   , 15  ,2, 8   ,13, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," M (RC), AM (R)           ",21, $25.5M  
 Ashley Young          ,18,15,12,7,15,16,14,6,7,14,8,13,12,12,10,13,14,5,15,7,11,13, 16  , 15  , 14  , 14  ,16,12, 6   , 11  , 3   , 3   , 13  ,12, 4   ,14, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," AM (RLC), ST             ",25, $25.5M  
 Stewart Downing       ,13,16,11,9,12,16,14,10,4,14,4,15,13,15,14,10,5,12,14,7,13,14, 12  , 15  , 13  , 12  ,15,14, 8   , 12  , 8   , 8   , 15  ,12, 5   ,13, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , M/AM (RL)                ,26, $25.5M  
 Ashley Cole           ,17,15,14,8,18,16,18,10,16,17,14,15,16,10,16,18,8,16,16,16,15,18, 8   , 12  , 12  , 10  ,14,9, 10  , 9   , 10  , 15  , 13  ,15, 17  ,13, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D (L)                    ,30, $24.5M  
 David Silva           ,16,18,10,5,11,13,14,7,10,13,11,17,15,19,17,15,19,10,18,8,14,11, 15  , 16  , 18  , 13  ,19,12, 8   , 12  , 7   , 5   , 18  ,13, 8   ,19, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," M (C), AM (RLC)          ",25, $24M    
 Darren Fletcher       ,13,15,14,13,17,12,20,15,17,16,17,12,15,14,16,18,6,15,13,17,19,20, 11  , 15  , 7   , 10  ,14,8, 15  , 7   , 8   , 13  , 15  ,12, 15  ,14, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , M (C)                    ,27, $21.5M  
 Nani                  ,16,16,14,7,15,16,14,12,11,11,8,12,13,13,12,14,20,5,15,8,12,14, 12  , 15  , 17  , 12  ,17,13, 6   , 15  , 4   , 6   , 13  ,15, 7   ,17, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , M/AM (RL)                ,24, $21.5M  
 Ra£l Meireles         ,12,14,12,12,14,12,12,12,10,15,9,15,16,15,13,15,13,12,14,15,14,15, 14  , 14  , 11  , 13  ,14,14, 12  , 16  , 11  , 13  , 15  ,12, 13  ,14, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , M (C)                    ,28, $21M    
 Rio Ferdinand         ,14,13,15,16,8,15,13,15,8,18,11,17,16,9,15,16,8,17,7,18,14,14, 5   , 5   , 10  , 6   ,15,2, 16  , 2   , 6   , 17  , 13  ,10, 16  ,15, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D (C)                    ,32, $20M    
 Frank Lampard         ,10,14,14,12,20,10,15,12,13,16,14,18,17,16,18,18,8,18,16,12,17,17, 10  , 10  , 12  , 17  ,17,14, 11  , 15  , 7   , 10  , 16  ,19, 11  ,15, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , M/AM (C)                 ,33, $19.5M  
 John Obi Mikel        ,9,13,16,12,17,10,18,20,14,17,14,19,13,16,15,18,10,10,13,17,14,15, 10  , 12  , 11  , 6   ,18,10, 8   , 4   , 3   , 14  , 17  ,13, 14  ,16, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," DM, M (C)                ",24, $19.5M  
 Alex Chamberlain      ,14,11,13,8,15,15,12,9,5,9,11,9,10,12,10,7,14,7,11,7,11,12, 8   , 13  , 13  , 10  ,10,6, 7   , 7   , 5   , 5   , 8   ,9, 7   ,12, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," M/AM (RLC), ST           ",17, $19.25M 
 Luka Modric           ,15,16,16,4,16,14,18,9,12,15,13,14,15,17,18,15,15,17,14,7,18,18, 13  , 12  , 16  , 7   ,17,13, 7   , 8   , 11  , 7   , 17  ,15, 9   ,17, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," M (LC), AM (RLC)         ",25, $18.25M 
 Daniel Agger          ,12,11,16,15,10,14,15,13,10,14,14,18,15,12,16,16,11,15,8,17,17,12, 8   , 9   , 10  , 10  ,14,11, 15  , 14  , 12  , 14  , 15  ,13, 14  ,13, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D (C)                    ,26, $17.75M 
 Nigel de Jong         ,16,15,15,8,15,13,18,17,19,14,18,15,14,12,13,18,10,13,9,16,19,19, 5   , 8   , 10  , 6   ,14,7, 13  , 5   , 12  , 17  , 12  ,10, 18  ,14, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," DM, M (C)                ",26, $17.75M 
 Bryan Ru¡z            ,15,15,10,13,14,15,12,12,12,13,15,14,11,15,12,14,19,11,15,7,10,12, 12  , 14  , 16  , 14  ,16,12, 13  , 12  , 7   , 6   , 15  ,15, 5   ,18, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," AM (RL), ST              ",25, $17M    
 Gervinho              ,18,16,13,8,13,16,14,9,10,13,10,15,12,14,13,15,18,9,16,6,11,12, 9   , 13  , 17  , 15  ,14,11, 7   , 12  , 5   , 3   , 12  ,12, 3   ,17, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , AM (RL)                  ,24, $16.75M 
 Romelu Lukaku         ,13,8,16,14,18,15,10,18,7,12,14,18,14,11,11,16,13,14,13,11,18,15, 4   , 10  , 12  , 14  ,11,8, 14  , 14  , 6   , 6   , 10  ,18, 6   ,11, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , ST                       ,18, $16.75M 
 Christopher Samba     ,15,12,14,18,15,14,13,19,17,15,18,12,8,9,12,18,8,18,11,15,15,13, 2   , 6   , 10  , 9   ,8,4, 19  , 8   , 5   , 15  , 10  ,6, 17  ,12, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D (C)                    ,27, $16.5M  
 Mikel Arteta          ,12,14,15,9,15,13,14,11,13,14,9,16,15,16,15,14,15,12,14,13,14,15, 14  , 17  , 15  , 12  ,17,15, 7   , 12  , 3   , 11  , 16  ,17, 10  ,17, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," M (RC), AM (R)           ",29, $16M    
 Peter Crouch          ,11,12,13,20,15,12,16,14,12,15,14,17,14,14,16,14,14,13,15,15,17,18, 3   , 9   , 13  , 13  ,14,6, 14  , 10  , 3   , 6   , 11  ,12, 9   ,14, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , ST                       ,30, $16M    
 Marouane Chamakh      ,14,14,17,14,13,13,17,15,11,17,15,13,14,13,15,15,13,11,15,12,18,17, 5   , 10  , 14  , 13  ,16,11, 18  , 14  , 5   , 9   , 13  ,14, 6   ,14, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , ST                       ,27, $16M    
 Rafael van der Vaart  ,13,14,12,7,9,11,15,10,11,16,13,16,13,16,16,15,16,15,18,11,14,15, 17  , 15  , 14  , 14  ,16,17, 6   , 19  , 4   , 5   , 17  ,18, 8   ,17, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , M/AM (RC)                ,28, $16M    
 Gareth Bale           ,18,12,14,12,15,16,19,13,5,13,14,15,13,13,11,16,11,6,14,9,14,15, 15  , 15  , 16  , 13  ,13,16, 15  , 7   , 12  , 11  , 13  ,11, 13  ,15, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D/WB/M/AM (L)            ,21, $16M    
 Didier Drogba         ,15,10,12,16,16,14,16,19,12,14,14,15,14,11,15,17,15,17,14,15,16,16, 8   , 15  , 13  , 16  ,15,16, 19  , 12  , 6   , 10  , 10  ,15, 7   ,14, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , ST                       ,33, $15.75M 
 Javier Hern ndez      ,18,16,14,13,15,17,14,8,10,14,12,14,14,8,12,17,14,8,18,7,11,15, 5   , 9   , 11  , 16  ,12,7, 16  , 10  , 6   , 3   , 11  ,14, 5   ,13, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , ST                       ,23, $15.75M 
 Per Mertesacker       ,7,6,10,20,12,13,12,17,7,19,8,20,18,9,13,10,2,15,6,19,20,6, 3   , 4   , 3   , 8   ,8,4, 16  , 4   , 12  , 17  , 7   ,5, 18  ,7, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D (C)                    ,26, $15.75M 
 Bacary Sagna          ,17,14,14,11,18,16,17,15,12,15,16,15,14,13,14,16,10,8,13,14,16,17, 11  , 10  , 11  , 5   ,14,7, 15  , 8   , 8   , 14  , 14  ,5, 16  ,14, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D/WB (R)                 ,28, $15.75M 
 Charles N'Zogbia      ,16,12,12,6,12,16,11,11,10,11,11,13,9,11,11,14,14,5,11,8,10,12, 12  , 13  , 15  , 12  ,12,13, 6   , 13  , 1   , 9   , 12  ,5, 11  ,12, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," D (L), AM (RLC)          ",25, $15.25M 
 Vincent Kompany       ,15,15,16,16,12,13,15,16,14,15,18,16,15,12,14,17,11,16,9,17,14,15, 5   , 5   , 9   , 7   ,14,12, 18  , 10  , 12  , 16  , 12  ,10, 17  ,13, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," D (C), DM, M (C)         ",25, $15M    
 Theo Walcott          ,19,16,14,7,16,19,14,9,7,12,9,11,11,12,9,15,12,3,12,7,14,13, 7   , 12  , 14  , 13  ,12,10, 5   , 6   , 4   , 7   , 11  ,10, 7   ,13, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," AM (R), ST               ",22, $14.75M 
 Mario Balotelli       ,15,15,11,13,14,16,13,15,12,10,12,16,7,14,10,10,16,8,15,6,5,4, 14  , 13  , 15  , 14  ,12,14, 11  , 15  , 6   , 7   , 14  ,18, 7   ,16, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," AM (RL), ST              ",20, $14.5M  
 Florent Malouda       ,15,16,14,9,15,14,16,13,7,14,13,15,14,15,16,12,12,12,16,12,15,16, 13  , 15  , 12  , 15  ,15,10, 12  , 14  , 3   , 7   , 14  ,13, 8   ,14, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," M (L), AM (LC)           ",31, $14.25M 
 Branislav Ivanovic    ,14,7,14,15,10,13,16,16,12,15,16,12,14,13,14,15,6,11,14,16,14,17, 7   , 9   , 9   , 10  ,14,10, 16  , 7   , 15  , 15  , 10  ,10, 17  ,10, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D (RC)                   ,27, $13.75M 
 Lucas Leiva           ,13,15,13,12,15,14,17,14,11,15,13,15,15,14,14,15,11,9,14,16,16,17, 11  , 13  , 13  , 8   ,14,10, 8   , 8   , 5   , 15  , 14  ,7, 16  ,15, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," DM, M (C)                ",24, $13.5M  
 Ramires               ,17,15,10,10,16,16,18,11,13,13,15,14,15,13,14,16,12,13,16,14,16,18, 10  , 11  , 13  , 11  ,13,7, 12  , 13  , 10  , 13  , 14  ,12, 14  ,13, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , M (RC)                   ,24, $13.25M 
 Connor Wickham        ,13,10,10,15,12,14,7,17,10,8,12,10,10,11,12,15,10,9,12,10,12,12, 4   , 8   , 13  , 12  ,14,2, 11  , 5   , 18  , 3   , 13  ,12, 8   ,12, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," AM (RL), ST              ",18, $13M    
 Wilson Palacios       ,16,13,12,11,12,16,18,17,14,13,15,12,12,10,9,14,13,9,11,15,17,17, 8   , 7   , 11  , 8   ,13,11, 15  , 10  , 8   , 12  , 10  ,13, 16  ,12, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , M (C)                    ,26, $12.75M 
 Jack Wilshere         ,14,15,17,5,13,13,14,11,15,14,15,17,14,15,15,17,16,9,16,11,15,14, 12  , 12  , 15  , 11  ,14,11, 6   , 11  , 5   , 7   , 15  ,14, 11  ,17, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," M (RC), AM (RLC)         ",19, $12.75M 
 Thomas Vermaelen      ,12,13,14,15,14,14,14,14,16,17,18,15,14,12,13,18,7,15,11,16,14,14, 7   , 8   , 10  , 11  ,13,8, 17  , 13  , 10  , 15  , 13  ,6, 16  ,13, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D (LC)                   ,25, $12.75M 
 Emmanuel Adebayor     ,16,17,16,16,15,16,16,18,14,10,11,14,9,10,12,12,14,8,14,5,8,6, 5   , 5   , 15  , 15  ,15,5, 16  , 11  , 7   , 5   , 12  ,16, 4   ,15, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , ST                       ,27, $12.75M 
 Andrey Arshavin       ,16,17,16,5,8,14,12,11,11,16,14,15,12,16,16,14,17,13,17,10,9,10, 14  , 12  , 18  , 16  ,17,11, 4   , 14  , 4   , 4   , 15  ,11, 7   ,17, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," M (RL), AM (RLC)         ",30, $12.5M  
 Glen Johnson          ,15,15,16,13,17,15,17,15,11,13,12,15,11,13,16,13,9,7,14,12,14,16, 3   , 15  , 13  , 10  ,13,8, 12  , 10  , 6   , 13  , 13  ,12, 14  ,14, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D (R)                    ,26, $12.25M 
 Dimitar Berbatov      ,14,15,18,14,14,12,14,14,5,14,10,17,13,17,15,14,18,10,17,7,15,10, 7   , 12  , 15  , 15  ,19,12, 12  , 11  , 5   , 2   , 16  ,15, 3   ,18, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , ST                       ,30, $11.75M 
 Antonio Valencia      ,18,15,16,9,14,18,17,14,12,13,15,10,14,11,12,17,15,3,15,14,16,17, 14  , 16  , 14  , 10  ,14,10, 7   , 11  , 7   , 9   , 13  ,10, 8   ,13, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , M/AM (R)                 ,25, $11.75M 
 Alex Song             ,12,14,16,13,16,11,18,17,14,16,16,17,16,12,14,17,9,9,13,15,16,18, 5   , 9   , 12  , 9   ,13,5, 15  , 7   , 10  , 14  , 13  ,10, 16  ,13, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," D (C), DM, M (C)         ",23, $11.5M  
 Sebasti n Coates      ,11,12,14,18,8,14,15,15,14,13,14,14,13,13,12,15,13,15,12,12,12,13, 10  , 11  , 12  , 11  ,10,8, 16  , 7   , 3   , 12  , 12  ,10, 13  ,13, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D (C)                    ,20, $11.5M  
 Marouane Fellaini     ,9,13,18,17,16,12,17,19,16,16,18,16,16,12,13,17,10,5,14,16,18,18, 9   , 9   , 13  , 13  ,15,8, 19  , 10  , 12  , 12  , 15  ,12, 13  ,15, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," DM, M (C)                ",23, $11.5M  
 Alex                  ,13,12,14,16,15,12,15,17,12,15,16,14,14,13,14,14,8,12,12,14,12,14, 5   , 6   , 9   , 9   ,11,13, 17  , 11  , 11  , 15  , 11  ,15, 14  ,12, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D (C)                    ,29, $11.25M 
 Anderson              ,18,16,17,8,16,16,12,17,14,13,14,13,12,14,11,13,12,7,13,10,16,17, 12  , 13  , 13  , 5   ,15,14, 7   , 3   , 7   , 8   , 15  ,15, 12  ,15, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , M/AM (C)                 ,23, $11.25M 
 Gal Clichy           ,19,15,15,10,17,18,19,12,11,15,14,12,8,12,10,17,10,9,13,13,15,19, 5   , 11  , 14  , 6   ,15,5, 10  , 5   , 6   , 12  , 14  ,6, 16  ,15, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D/WB (L)                 ,25, $11.25M 
 Rafael                ,18,17,15,9,14,17,12,10,15,13,15,12,13,9,11,16,13,6,14,12,14,16, 8   , 15  , 14  , 10  ,14,7, 12  , 8   , 9   , 12  , 13  ,8, 14  ,14, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D/WB (R)                 ,20, $11.25M 
 Dirk Kuyt             ,13,15,16,12,20,12,20,15,12,15,17,16,17,13,15,18,8,17,16,17,18,19, 6   , 12  , 12  , 13  ,13,7, 14  , 6   , 8   , 7   , 13  ,20, 11  ,13, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," M/AM (R), ST             ",30, $11.25M 
 Danny Welbeck         ,17,17,12,13,15,18,10,12,8,8,6,11,11,8,9,13,16,4,14,4,10,12, 4   , 9   , 14  , 13  ,13,4, 13  , 8   , 3   , 3   , 9   ,10, 3   ,13, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , ST                       ,20, $11M    
 Abou Diaby            ,16,17,17,15,13,15,16,16,12,13,12,14,10,12,9,8,16,6,14,8,11,10, 5   , 9   , 15  , 14  ,16,8, 10  , 13  , 8   , 12  , 12  ,10, 11  ,17, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , M/AM (C)                 ,25, $10.75M 
 James Milner          ,13,15,13,8,18,12,18,11,12,15,14,14,15,14,15,17,14,14,13,10,18,19, 13  , 14  , 12  , 12  ,14,15, 9   , 13  , 12  , 9   , 14  ,12, 12  ,12, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," M (RLC), AM (RL)         ",25, $10.75M 
 Charlie Adam          ,10,10,14,11,12,9,14,13,16,14,13,13,11,17,9,15,16,16,13,11,15,13, 16  , 14  , 14  , 15  ,15,16, 15  , 15  , 10  , 12  , 16  ,16, 10  ,15, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , M/AM (C)                 ,25, $10.75M 
 Leighton Baines       ,14,13,12,6,17,14,17,9,12,15,15,14,15,13,13,13,10,13,14,13,15,17, 12  , 16  , 15  , 4   ,14,15, 10  , 14  , 13  , 15  , 14  ,15, 13  ,14, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D/WB/M (L)               ,26, $10.75M 
 Jermain Defoe         ,17,16,16,7,18,15,14,10,12,16,10,15,13,11,12,14,14,9,17,6,8,11, 8   , 9   , 12  , 15  ,13,11, 11  , 14  , 5   , 4   , 12  ,10, 6   ,15, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , ST                       ,28, $10.5M  
 Andr Santos          ,12,13,14,7,14,15,14,13,9,14,9,18,8,14,14,6,16,6,15,10,10,11, 12  , 15  , 16  , 15  ,16,16, 7   , 15  , 12  , 9   , 15  ,11, 13  ,17, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D/WB/M/AM (L)            ,28, $10.5M  
 Pablo Zabaleta        ,15,14,13,9,15,14,16,12,17,14,17,15,14,10,12,17,4,10,11,14,19,19, 8   , 13  , 11  , 10  ,12,7, 10  , 10  , 10  , 13  , 12  ,11, 14  ,12, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," D (RL), WB (R), M (RC)   ",26, $10.5M  
 Martin Skrtel         ,12,14,14,15,15,14,16,16,13,14,12,13,13,8,14,16,7,6,11,14,14,13, 4   , 7   , 7   , 4   ,12,2, 16  , 7   , 5   , 14  , 11  ,2, 15  ,12, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D (C)                    ,26, $10.25M 
 Nicklas Bendtner      ,14,11,16,16,12,13,11,15,14,13,14,13,9,13,12,14,14,5,16,6,7,14, 9   , 11  , 14  , 13  ,13,10, 15  , 10  , 3   , 3   , 13  ,14, 7   ,16, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , ST                       ,23, $10.25M 
