Name,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Cre,Dec,Det,Fla,Inf,Off,Pos,Tea,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,LTh,Mar,Pas,Pen,Tac,Tec,Age,Position,Value,Predicted_value,Difference
 Tobias Werner             ,14,14,9,11,13,14,12,10,12,10,15,10,9,11,9,13,8,10,15,6,13,15, 13  , 12  , 13  , 8   ,12,11, 12  , 12  , 10  , 5   , 12  ,8, 8   ,11,25," M/AM (L), ST                       ",2.5,5.7616234,3.2616233825683594
 Paco Esteban            ,11,9,11,11,13,11,10,13,11,11,11,10,9,6,9,17,12,8,12,8,7,10, 11  , 9   , 11  , 11  ,10,8, 11  , 9   , 4   , 6   , 10  ,10, 6   ,11,29," AM (C), ST          ",0.1,0.9362674,0.8362673759460449
 Emil Jula               ,9,10,12,16,8,12,13,16,14,13,14,10,10,10,10,16,11,10,10,5,17,17, 3   , 9   , 12  , 13  ,11,8, 15  , 10  , 12  , 8   , 13  ,10, 11  ,12,31, ST                          ,1.2,6.3100314,5.110031414031982
 Andrei Cristea          ,14,13,12,11,12,14,11,13,9,11,12,13,13,12,12,14,12,10,11,11,10,12, 6   , 11  , 12  , 14  ,12,13, 15  , 9   , 3   , 5   , 11  ,15, 6   ,12,27, ST                          ,2.9,14.627073,11.727072811126709
 Kevin Gameiro                   ,17,15,12,7,16,16,14,9,6,15,11,14,13,13,13,16,13,9,17,7,11,14, 11  , 12  , 13  , 17  ,14,8, 11  , 13  , 5   , 2   , 13  ,15, 4   ,14,24, ST                  ,10.5,53.561295,43.061296463012695
 Salom¢n Rond¢n          ,14,14,16,15,18,14,15,16,12,14,16,11,12,9,12,12,12,11,14,7,13,15, 5   , 10  , 14  , 15  ,10,5, 15  , 12  , 5   , 6   , 13  ,11, 6   ,14,21, ST                         ,10.5,26.211227,15.711228370666504
 David Goodwillie      ,12,13,13,8,12,13,14,15,10,12,14,12,13,15,12,17,14,5,14,7,11,16, 6   , 10  , 14  , 15  ,12,6, 12  , 12  , 6   , 5   , 10  ,13, 6   ,14,22, ST                       ,3.2,16.658499,13.458499240875243
 Paul Gallagher       ,10,14,14,11,15,10,13,7,8,14,6,15,11,14,10,14,11,10,12,8,12,12, 13  , 13  , 10  , 13  ,13,14, 9   , 14  , 2   , 4   , 14  ,17, 8   ,15,26," AM (RLC), ST           ",1.9,11.249437,9.349437332153322
 Karim Benzema           ,13,14,14,11,14,16,15,14,6,14,11,18,13,13,14,11,16,8,17,7,13,7, 9   , 11  , 16  , 16  ,17,14, 13  , 14  , 8   , 4   , 13  ,12, 6   ,17,23, ST                         ,37.0,57.757446,20.757444381713867
 Tomas Micola                    ,16,12,11,8,13,15,13,11,11,12,13,9,10,10,7,14,13,5,11,5,10,15, 7   , 7   , 13  , 7   ,12,7, 9   , 8   , 5   , 3   , 9   ,7, 4   ,14,22, ST                  ,2.3000000000000003,3.889339,1.5893389701843261
 Manolo Mosciaro             ,10,11,6,11,10,15,10,10,10,8,8,5,5,8,10,7,11,9,7,4,10,11, 5   , 3   , 12  , 12  ,9,14, 8   , 6   , 3   , 3   , 11  ,8, 1   ,12,25, ST                    ,0.03,1.0914755,1.061475486755371
 Lorenzo Squizzi              ,10,10,10,14,12,11,13,10,12,14,13,10,14,5,10,16,3,9,1,15,16,16, 10  , 6   , 11  , 12  ,7,10, 5   , 6   , 10  , 5   , 9   ,5, 6   ,12,19," M/AM (L), ST           ",0.42500000000000004,1.054821,0.6298210144042968
 Marino Mller           ,12,10,9,10,5,10,6,6,6,12,6,11,9,9,9,10,10,12,13,7,10,11, 9   , 5   , 10  , 11  ,13,8, 12  , 4   , 8   , 7   , 9   ,7, 5   ,12,18, ST                          ,0.725,1.4363861,0.7113861083984375
 Vittorio Lomartire          ,12,10,9,8,13,10,5,5,9,7,2,7,9,5,2,8,11,6,7,6,8,9, 4   , 2   , 5   , 6   ,9,4, 8   , 6   , 1   , 1   , 3   ,4, 1   ,6,16, ST                    ,0.026,0.0820899,0.05608990097045899
 Tote                    ,12,15,13,10,9,11,9,10,15,12,12,13,11,18,14,17,18,15,15,11,9,8, 10  , 14  , 15  , 10  ,17,12, 12  , 12  , 9   , 5   , 18  ,12, 9   ,17,32," AM (RC), ST         ",1.4000000000000001,21.99578,20.59578046798706
 John Marquis         ,11,8,12,13,12,13,10,13,13,9,13,7,11,7,7,14,9,12,11,7,15,16, 4   , 6   , 8   , 13  ,10,5, 13  , 6   , 3   , 6   , 9   ,6, 12  ,10,19, ST                     ,2.0,5.869601,3.869600772857666
 Daniel Niculae                  ,13,13,14,12,12,14,16,14,8,13,15,10,12,14,11,13,13,7,13,8,15,14, 8   , 11  , 12  , 11  ,13,12, 14  , 14  , 5   , 4   , 15  ,14, 4   ,13,28," AM (C), ST          ",2.3000000000000003,20.87001,18.57001085281372
 Daniele Ragatzu             ,16,18,11,6,17,12,13,11,14,12,12,10,10,10,9,10,11,7,16,5,14,14, 7   , 8   , 14  , 12  ,10,6, 6   , 8   , 8   , 6   , 10  ,11, 9   ,12,19," AM (LC), ST           ",2.5,5.7100368,3.2100367546081543
 Jonathan Ayit                  ,13,12,14,13,14,12,14,14,11,14,12,12,12,8,11,14,12,6,13,5,10,11, 5   , 6   , 12  , 13  ,14,8, 14  , 11  , 5   , 5   , 9   ,15, 2   ,14,25, ST                  ,2.1,8.229912,6.129911327362061
 Murat Bildirci            ,12,12,12,9,12,12,6,2,16,5,9,6,8,8,10,10,9,11,7,4,9,10, 5   , 5   , 12  , 12  ,8,8, 9   , 6   , 2   , 6   , 9   ,5, 5   ,10,18," M/AM (C), ST                       ",0.22999999999999998,0.5429244,0.3129244041442871
 Lorenzo Serafini            ,11,11,11,5,13,11,5,4,14,4,5,4,8,1,3,10,14,7,7,2,5,10, 3   , 4   , 11  , 9   ,11,1, 7   , 5   , 1   , 1   , 1   ,7, 1   ,7,20, ST                    ,0.005999999999999999,0.14181137,0.13581137084960937
 Jack Sampson          ,10,9,8,11,11,11,11,9,9,9,9,8,8,8,10,6,9,8,9,9,7,8, 3   , 5   , 8   , 12  ,9,6, 8   , 9   , 5   , 3   , 8   ,8, 3   ,9,18, ST                       ,1.0,0.8112073,-0.18879270553588873
 Max Gradel                      ,16,14,9,6,12,17,15,10,16,8,9,7,7,7,6,19,14,5,13,7,11,13, 8   , 9   , 13  , 13  ,12,12, 4   , 14  , 3   , 5   , 11  ,10, 8   ,15,23," M/AM (RL), ST       ",3.2,10.545694,7.345694828033446
 Mario Paglialunga            ,11,12,14,12,13,13,15,13,9,14,15,7,11,12,12,13,6,13,12,14,14,14, 11  , 12  , 13  , 14  ,12,11, 8   , 13  , 7   , 7   , 13  ,9, 8   ,13,23," M/AM (RLC), ST         ",2.2,10.040178,7.840178298950196
 Jonathan Pereira        ,16,15,5,4,13,16,11,4,8,11,8,12,10,14,11,13,17,4,15,4,13,12, 7   , 12  , 16  , 13  ,14,8, 5   , 6   , 6   , 4   , 13  ,12, 6   ,17,24," AM (LC), ST                ",3.8,19.860094,16.060093593597415
 Matteo Parroccini           ,11,8,7,9,12,9,5,4,4,7,2,8,1,5,1,8,13,6,9,4,12,10, 3   , 5   , 9   , 8   ,9,7, 7   , 1   , 2   , 3   , 6   ,7, 1   ,6,18, ST                    ,0.002,0.10122061,0.09922060775756836
 Lionel Messi            ,18,20,16,5,15,16,15,8,7,17,13,16,16,17,17,19,20,12,16,6,11,12, 11  , 14  , 20  , 19  ,17,14, 9   , 16  , 5   , 6   , 17  ,18, 7   ,20,24," M (RL), AM (RLC), ST       ",58.0,68.74277,10.742771148681642
 Wayne Rooney          ,16,14,17,11,17,15,18,16,17,16,19,14,16,16,15,19,16,14,17,8,18,19, 10  , 15  , 12  , 16  ,16,12, 15  , 13  , 5   , 5   , 16  ,16, 8   ,17,25, ST                       ,50.0,65.68813,15.688133239746094
 Alexander Aschauer        ,11,9,12,15,10,10,10,14,8,8,9,9,8,8,9,6,4,4,11,3,11,11, 3   , 7   , 10  , 11  ,9,3, 14  , 9   , 3   , 4   , 10  ,9, 4   ,12,19, ST                                 ,0.085,1.4523935,1.3673935317993164
 V¡ctor                  ,14,13,12,10,11,14,13,11,13,12,13,12,10,10,12,13,11,7,14,10,11,12, 5   , 10  , 12  , 14  ,11,6, 14  , 12  , 10  , 5   , 12  ,14, 7   ,13,26, ST                         ,3.1,8.732619,5.632619285583496
 Josh McQuoid         ,14,15,10,7,11,15,9,9,10,11,10,7,10,7,5,13,12,3,11,9,11,13, 5   , 6   , 8   , 13  ,11,3, 10  , 12  , 2   , 4   , 12  ,9, 5   ,12,21," M/AM (R), ST           ",0.875,3.8896275,3.014627456665039
 Dennis Oliech                   ,17,14,16,10,17,16,15,16,9,11,14,9,13,9,10,14,13,6,14,11,14,16, 5   , 9   , 10  , 11  ,12,7, 11  , 12  , 5   , 7   , 9   ,13, 3   ,9,26," M/AM (R), ST        ",4.0,8.068121,4.06812047958374
 Patrick Mayer             ,14,12,11,11,12,13,11,10,8,12,13,15,12,12,12,11,9,7,14,9,11,13, 5   , 9   , 10  , 15  ,10,6, 12  , 12  , 5   , 6   , 11  ,11, 6   ,11,23, ST                                 ,2.9,5.412872,2.512871837615967
 Lago Junior             ,14,16,13,11,14,15,13,11,8,14,8,6,9,9,7,10,8,7,14,6,14,13, 7   , 10  , 12  , 11  ,9,7, 9   , 11  , 7   , 5   , 11  ,10, 7   ,12,20, ST                  ,1.7999999999999998,10.139251,8.33925075531006
 Jordan Ball          ,11,11,11,10,14,11,4,5,5,6,3,5,4,8,2,9,10,9,9,3,7,9, 2   , 4   , 10  , 8   ,5,3, 3   , 5   , 1   , 3   , 2   ,7, 1   ,1,18, ST                     ,0.007,0.05663395,0.04963394927978516
 Jefferson Montero       ,16,15,8,6,14,14,12,6,10,11,8,11,7,13,9,13,18,5,13,5,9,10, 11  , 13  , 16  , 10  ,14,10, 6   , 12  , 7   , 5   , 13  ,11, 6   ,16,21," AM (RL), ST                ",2.1,11.6937065,9.593706512451172
 Federico Casarini            ,14,13,10,12,13,14,15,12,12,11,14,8,12,13,11,14,14,6,11,11,15,15, 11  , 13  , 17  , 15  ,17,17, 4   , 18  , 6   , 3   , 16  ,17, 4   ,17,32, ST                     ,3.0,30.62809,27.628089904785156
 Jordan Rugg           ,12,12,12,13,13,12,7,5,11,5,4,4,3,8,7,10,9,8,12,4,12,11, 5   , 3   , 8   , 5   ,12,1, 7   , 6   , 1   , 4   , 5   ,4, 3   ,10,20, ST                       ,0.07,0.1458025,0.07580249786376952
 Abdoul Karim Sylla              ,15,12,13,10,14,14,13,12,8,11,13,12,11,7,10,14,12,5,12,5,8,11, 6   , 8   , 11  , 13  ,11,7, 10  , 8   , 5   , 3   , 8   ,11, 3   ,13,19, ST                  ,2.4,5.4049587,3.004958724975586
 Giuseppe Greco              ,13,13,9,9,13,14,12,13,11,11,8,8,10,10,11,17,12,11,13,12,13,13, 11  , 11  , 11  , 13  ,9,14, 11  , 12  , 5   , 4   , 11  ,11, 6   ,14,27," AM (C), ST            ",0.8500000000000001,4.3853903,3.535390281677246
 Dennis S?rensen         ,10,12,12,15,14,13,14,14,18,10,14,11,9,11,10,14,9,11,13,10,18,19, 6   , 10  , 11  , 8   ,9,5, 13  , 5   , 5   , 8   , 11  ,9, 16  ,9,30," M/AM (R), ST                ",0.8999999999999999,2.6852584,1.7852583885192872
 Ugur Albayrak           ,12,8,7,10,13,11,7,6,11,12,3,12,5,9,8,9,8,8,12,8,15,12, 7   , 9   , 11  , 12  ,6,8, 10  , 6   , 4   , 4   , 8   ,8, 2   ,9,23, ST                          ,0.05,0.3508258,0.3008257865905762
 Domenico Arcobelli          ,6,7,4,11,7,10,4,11,10,7,1,11,4,11,11,6,6,1,11,4,2,4, 5   , 7   , 10  , 14  ,14,5, 14  , 7   , 5   , 5   , 7   ,5, 5   ,10,18, ST                    ,0.005,0.95603704,0.9510370445251465
 Diego Buonanotte        ,16,16,5,5,13,16,12,5,10,11,13,13,11,14,11,17,17,4,14,7,13,13, 13  , 13  , 16  , 13  ,14,14, 1   , 13  , 1   , 7   , 13  ,15, 7   ,16,23," AM (RLC), ST               ",3.4000000000000004,28.597326,25.197326278686525
 Nikola Zigic         ,9,10,18,19,8,9,10,15,11,13,14,16,16,13,14,17,7,10,14,13,19,10, 6   , 8   , 13  , 15  ,15,6, 15  , 12  , 10  , 8   , 13  ,15, 8   ,14,30, ST                     ,3.1,9.537768,6.437768363952636
 Nilmar                  ,16,19,5,10,12,17,14,9,7,14,12,14,12,14,13,17,16,11,17,7,13,15, 10  , 13  , 16  , 16  ,15,9, 11  , 10  , 8   , 5   , 13  ,15, 7   ,17,26, ST                         ,22.5,54.678467,32.17846870422363
 Anthony Petrilli                ,10,8,12,12,14,13,9,13,6,11,13,10,8,8,9,10,11,11,9,3,7,10, 7   , 5   , 7   , 9   ,8,5, 11  , 8   , 7   , 2   , 6   ,10, 3   ,7,18, ST                  ,0.065,1.2352562,1.1702561950683594
 Mirko Vucinic                ,15,18,11,12,12,15,14,12,11,13,14,12,13,14,15,15,14,9,15,8,13,12, 7   , 11  , 16  , 14  ,14,10, 12  , 11  , 1   , 6   , 13  ,14, 6   ,17,27," AM (LC), ST            ",13.75,53.894264,40.14426231384277
 Robert Lewandowski        ,14,13,13,13,12,13,14,13,12,14,16,12,10,11,13,14,12,6,14,8,14,15, 7   , 9   , 14  , 15  ,14,6, 13  , 11  , 3   , 9   , 11  ,6, 8   ,13,22, ST                                 ,6.75,21.062199,14.3121976852417
 Bojan                        ,14,17,10,7,12,15,14,9,7,13,11,12,13,14,14,11,16,9,15,7,15,15, 9   , 13  , 15  , 15  ,13,8, 11  , 13  , 5   , 5   , 13  ,14, 7   ,15,20, ST                     ,12.5,50.972343,38.4723424911499
 Adriano                     ,7,8,9,7,13,12,8,7,6,2,4,10,5,2,4,10,7,9,12,3,15,12, 5   , 3   , 12  , 9   ,10,7, 11  , 7   , 1   , 1   , 6   ,2, 6   ,8,17, ST                    ,0.007,0.25079727,0.24379727172851562
 Zolt n Stieber            ,16,12,11,6,11,15,13,7,10,11,9,12,10,13,12,16,16,5,13,7,11,12, 10  , 15  , 14  , 12  ,13,12, 4   , 7   , 5   , 8   , 11  ,10, 8   ,13,22," M (L), AM (RLC), ST                ",4.1,13.958764,9.85876407623291
 Gili Vermut               ,12,14,10,8,10,13,12,8,7,15,7,12,12,18,14,14,13,11,14,8,12,13, 12  , 14  , 16  , 12  ,12,6, 4   , 6   , 1   , 8   , 16  ,10, 5   ,17,25," AM (RLC), ST                       ",6.5,15.273299,8.773299217224121
 Dan Evans            ,11,8,3,11,12,9,5,4,11,6,9,6,5,1,4,8,15,7,9,2,12,10, 2   , 5   , 5   , 8   ,4,5, 9   , 7   , 1   , 2   , 2   ,1, 1   ,8,18, ST                     ,0.007,0.033364296,0.026364295959472657
 Alessandro Pusceddu          ,12,8,6,3,10,11,5,9,3,4,3,2,10,2,3,8,13,3,7,4,7,9, 6   , 8   , 10  , 11  ,11,5, 11  , 3   , 3   , 3   , 8   ,9, 1   ,8,17," AM (L), ST             ",0.09,0.36326408,0.27326408386230466
 Marcos ?lvarez          ,14,11,11,9,11,14,11,10,9,11,8,11,11,11,10,9,8,5,13,11,10,12, 7   , 11  , 11  , 12  ,11,7, 9   , 8   , 6   , 6   , 10  ,7, 9   ,11,19, ST                          ,2.2,4.037726,1.8377259254455567
 Gabby Agbonlahor      ,18,9,11,9,16,19,14,16,14,10,13,11,10,8,10,12,7,6,11,5,11,12, 2   , 10  , 10  , 12  ,9,3, 13  , 6   , 1   , 4   , 11  ,7, 3   ,9,24," AM (RL), ST              ",10.0,11.626493,1.6264939308166504
 Samed Yesil               ,12,13,8,8,12,9,9,5,11,13,12,11,8,10,11,10,12,6,12,6,10,13, 4   , 7   , 12  , 14  ,12,7, 8   , 9   , 3   , 4   , 11  ,11, 6   ,12,17, ST                                 ,1.3,3.2267237,1.9267236709594726
 Iago Aspas              ,13,13,10,7,15,13,13,7,10,13,8,13,8,14,12,15,17,6,12,7,9,10, 11  , 9   , 14  , 11  ,13,12, 9   , 12  , 4   , 5   , 14  ,13, 5   ,14,23," AM (C), ST          ",0.8250000000000001,5.9624815,5.1374814987182615
 Jason Roberts         ,16,10,16,13,14,15,18,19,19,12,18,4,10,10,11,18,10,10,10,6,18,19, 5   , 9   , 11  , 12  ,8,8, 14  , 8   , 5   , 4   , 11  ,14, 7   ,11,33, ST                       ,1.3,5.455301,4.155300807952881
 Elliot Lee           ,11,8,11,13,12,10,7,5,14,8,6,9,3,8,9,10,10,2,10,9,9,12, 7   , 5   , 11  , 2   ,11,7, 9   , 8   , 1   , 1   , 6   ,1, 1   ,10,16, ST                     ,2.2,0.12088299,-2.079117012023926
 Francesco Caputo            ,12,12,11,12,4,12,14,12,9,10,11,11,11,13,11,15,10,5,13,11,14,13, 3   , 3   , 10  , 15  ,13,4, 13  , 9   , 9   , 3   , 11  ,12, 7   ,12,23, ST                    ,0.35000000000000003,6.787071,6.437071228027343
 Carl Walshe          ,12,9,8,5,10,10,6,5,6,9,10,10,10,8,10,10,9,9,11,5,9,9, 9   , 6   , 8   , 8   ,9,10, 6   , 6   , 1   , 6   , 9   ,10, 4   ,12,17, ST                     ,1.2,0.5241108,-0.6758892059326171
 Adama Ba                        ,11,10,10,8,8,10,6,6,14,5,5,11,1,1,2,10,13,4,6,3,14,10, 3   , 1   , 6   , 7   ,8,2, 11  , 1   , 3   , 1   , 3   ,7, 1   ,9,17, ST                  ,0.009,0.08599758,0.0769975814819336
 Alessio Pasquale Viola      ,14,14,7,6,14,13,10,8,12,12,8,10,8,11,12,10,13,10,13,5,9,11, 12  , 11  , 13  , 12  ,11,12, 6   , 11  , 4   , 4   , 11  ,12, 7   ,13,20," AM (C), ST            ",2.3000000000000003,5.889914,3.5899140357971193
 Robin Schmidt             ,12,12,12,12,13,12,7,4,12,9,5,12,5,6,6,9,8,1,11,6,15,11, 6   , 5   , 10  , 11  ,7,8, 10  , 8   , 1   , 2   , 8   ,5, 1   ,5,18, ST                                 ,0.17,0.32134533,0.15134532928466796
 Franck Bamba                    ,12,11,12,11,13,11,7,3,13,8,7,11,4,7,9,9,12,11,12,4,12,12, 8   , 4   , 11  , 12  ,9,6, 8   , 10  , 2   , 2   , 7   ,8, 3   ,7,18, ST                  ,0.085,0.6331706,0.5481706047058106
 ?lex Quillo             ,10,9,14,10,13,13,10,12,9,11,13,10,7,13,14,10,15,13,10,6,10,9, 12  , 10  , 12  , 12  ,14,13, 13  , 15  , 5   , 6   , 13  ,13, 7   ,13,24," M/AM (C), ST        ",0.21999999999999997,11.878279,11.658278255462646
 Martyn Waghorn       ,12,10,9,9,10,13,13,11,17,10,9,12,8,10,8,16,11,8,10,8,12,15, 10  , 10  , 12  , 12  ,12,10, 12  , 10  , 3   , 3   , 11  ,14, 10  ,10,21," AM (L), ST             ",3.0,5.901165,2.901165008544922
 Jake Jervis          ,11,14,14,13,13,10,4,8,8,7,10,14,5,7,8,7,7,9,5,7,5,8, 7   , 8   , 8   , 11  ,10,8, 11  , 4   , 4   , 7   , 7   ,4, 3   ,10,19, ST                     ,0.05499999999999999,0.9358716,0.8808716011047363
 Luca Cremonesi              ,12,12,12,3,9,12,6,2,11,5,3,6,7,5,2,9,13,6,12,4,10,11, 3   , 3   , 6   , 11  ,12,7, 12  , 11  , 2   , 4   , 3   ,8, 1   ,7,16, ST                    ,0.4,0.4693222,0.06932220458984374
 Borja                   ,12,14,14,8,12,14,13,5,10,14,5,7,11,12,13,9,9,1,14,8,8,12, 9   , 14  , 13  , 14  ,14,10, 7   , 7   , 8   , 10  , 13  ,10, 12  ,12,20," M/AM (RL), ST       ",1.7000000000000002,8.560109,6.860109138488769
 Oumare Tounkara       ,14,7,8,12,8,15,8,12,8,8,12,7,6,11,6,16,13,4,8,7,12,13, 3   , 9   , 12  , 9   ,10,5, 8   , 6   , 5   , 7   , 9   ,10, 6   ,11,21, ST                       ,1.0,2.9837632,1.9837632179260254
